-------------------------------|---------|----------|---------|---------|-------------------------------------------------------------
File                           | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                           
-------------------------------|---------|----------|---------|---------|-------------------------------------------------------------
All files                      |   95.59 |    81.43 |   94.25 |   96.08 |                                                             
 src                           |   55.55 |    21.42 |    37.5 |   50.87 |                                                             
  app.controller.ts            |     100 |       75 |     100 |     100 | 6                                                           
  app.module.ts                |   95.65 |      100 |       0 |   95.23 | 30                                                          
  app.service.ts               |     100 |      100 |     100 |     100 |                                                             
  main.ts                      |       0 |        0 |       0 |       0 | 1-56                                                        
  types.d.ts                   |       0 |        0 |       0 |       0 |                                                             
 src/admin                     |     100 |    86.84 |     100 |     100 |                                                             
  admin.controller.ts          |     100 |    91.66 |     100 |     100 | 19                                                          
  admin.module.ts              |     100 |      100 |     100 |     100 |                                                             
  admin.service.ts             |     100 |    84.61 |     100 |     100 | 20-24                                                       
 src/alerts                    |   98.78 |       86 |     100 |   98.57 |                                                             
  alerts.controller.ts         |     100 |       75 |     100 |     100 | 10                                                          
  alerts.module.ts             |     100 |      100 |     100 |     100 |                                                             
  alerts.service.ts            |   98.14 |    86.95 |     100 |   97.82 | 92                                                          
 src/auth                      |   98.52 |    85.22 |   96.29 |   99.59 |                                                             
  auth.controller.ts           |     100 |    76.47 |     100 |     100 | 9-21,35                                                     
  auth.module.ts               |   94.73 |      100 |       0 |   94.11 | 28                                                          
  auth.service.ts              |   98.23 |     86.7 |     100 |     100 | 28-33,52-58,75-82,97,168,201-205,255,335-336,385            
  jwt-auth.guard.ts            |     100 |      100 |     100 |     100 |                                                             
  jwt.strategy.ts              |     100 |    83.33 |     100 |     100 | 12                                                          
  mp-oauth.controller.ts       |     100 |    66.66 |     100 |     100 | 8-28                                                        
  mp-oauth.service.ts          |     100 |       90 |     100 |     100 | 8                                                           
 src/auth/dto                  |     100 |      100 |     100 |     100 |                                                             
  login.dto.ts                 |     100 |      100 |     100 |     100 |                                                             
  register.dto.ts              |     100 |      100 |     100 |     100 |                                                             
 src/documents                 |   87.16 |    69.73 |   83.75 |   87.42 |                                                             
  afip-verification.service.ts |   85.71 |    63.63 |    87.5 |   83.72 | 35-48                                                       
  dni-vision.service.ts        |   70.31 |    38.46 |   81.81 |   69.09 | 7-52,213,222                                                
  documents.controller.ts      |   76.81 |    48.14 |      68 |      75 | 41-42,90-91,110-111,135-136,160-161,180-181,205-206,225-226 
  documents.module.ts          |     100 |      100 |     100 |     100 |                                                             
  documents.service.ts         |   96.64 |     86.5 |     100 |   99.34 | 329                                                         
 src/email                     |     100 |    83.33 |     100 |     100 |                                                             
  email.module.ts              |     100 |      100 |     100 |     100 |                                                             
